iter	Passed	Remaining
829	3014	617
830	3017	613
831	3020	609
832	3023	606
833	3026	602
834	3029	598
835	3032	594
836	3036	591
837	3041	587
838	3044	584
839	3047	580
840	3050	576
841	3053	572
842	3056	569
843	3059	565
844	3062	561
845	3066	558
846	3069	554
847	3072	550
848	3075	546
849	3078	543
850	3081	539
851	3084	535
852	3087	532
853	3090	528
854	3093	524
855	3096	520
856	3099	517
857	3102	513
858	3105	509
859	3108	506
860	3111	502
861	3114	498
862	3117	494
863	3120	491
864	3123	487
865	3127	483
866	3130	480
867	3133	476
868	3136	472
869	3139	469
870	3142	465
871	3145	461
872	3148	458
873	3151	454
874	3154	450
875	3157	446
876	3160	443
877	3163	439
878	3166	435
879	3169	432
880	3172	428
881	3175	424
882	3178	421
883	3181	417
884	3184	413
885	3187	410
886	3191	406
887	3194	402
888	3197	399
889	3200	395
890	3203	391
891	3206	388
892	3209	384
893	3212	380
894	3215	377
895	3219	373
896	3224	370
897	3227	366
898	3230	362
899	3233	359
900	3236	355
901	3239	352
902	3242	348
903	3245	344
904	3249	341
905	3252	337
906	3255	333
907	3258	330
908	3261	326
909	3264	322
910	3267	319
911	3270	315
912	3273	311
913	3276	308
914	3279	304
915	3282	301
916	3285	297
917	3288	293
918	3291	290
919	3294	286
920	3297	282
921	3300	279
922	3303	275
923	3306	271
924	3309	268
925	3312	264
926	3315	261
927	3318	257
928	3321	253
929	3324	250
930	3327	246
931	3330	243
932	3333	239
933	3337	235
934	3340	232
935	3343	228
936	3346	224
937	3349	221
938	3354	217
939	3358	214
940	3361	210
941	3364	207
942	3367	203
943	3370	199
944	3373	196
945	3376	192
946	3379	189
947	3382	185
948	3385	181
949	3388	178
950	3391	174
951	3394	171
952	3397	167
953	3400	163
954	3403	160
955	3406	156
956	3409	153
957	3412	149
958	3415	146
959	3418	142
960	3421	138
961	3424	135
962	3427	131
963	3430	128
964	3433	124
965	3437	120
966	3440	117
967	3443	113
968	3446	110
969	3449	106
970	3452	103
971	3455	99
972	3458	95
973	3461	92
974	3464	88
975	3467	85
976	3470	81
977	3473	78
978	3477	74
979	3479	71
980	3486	67
981	3490	63
982	3493	60
983	3497	56
984	3500	53
985	3503	49
986	3506	46
987	3508	42
988	3512	39
989	3515	35
990	3518	31
991	3521	28
992	3524	24
993	3527	21
994	3530	17
995	3533	14
996	3536	10
997	3539	7
998	3541	3
999	3544	0
